"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","N.INSPECTIONS"
30075445,"MORRIS PARK BAKE SHOP","BRONX","1007      ","MORRIS PARK AVE                                   ",10462,"7188924968","Bakery",13
30112340,"WENDY'S","BROOKLYN","469","FLATBUSH AVENUE",11225,"7182875005","Hamburgers",6
30191841,"DJ REYNOLDS PUB AND RESTAURANT","MANHATTAN","351       ","WEST   57 STREET                                                                                    ",10019,"2122452912","Irish",5
40356018,"RIVIERA CATERER","BROOKLYN","2780","STILLWELL AVENUE",11224,"7183723031","American ",5
40356068,"TOV KOSHER KITCHEN","QUEENS","97-22","63 ROAD",11374,"7188967788","Jewish/Kosher",7
40356151,"BRUNOS ON THE BOULEVARD","QUEENS","8825      ","ASTORIA BOULEVARD                                                                                   ",11369,"7183350505","American ",6
40356442,"KOSHER ISLAND","STATEN ISLAND","2206","VICTORY BOULEVARD",10314,"7186985800","Jewish/Kosher",5
40356483,"WILKEN'S FINE FOOD","BROOKLYN","7114      ","AVENUE U                        ",11234,"7184443838","Delicatessen",11
40356649,"REGINA CATERERS","BROOKLYN","6409","11 AVENUE",11219,"7182560829","American ",7
40356731,"TASTE THE TROPICS ICE CREAM","BROOKLYN","1839      ","NOSTRAND AVENUE                                                                                     ",11226,"7188560821","Ice Cream, Gelato, Yogurt, Ices",5
40357217,"WILD ASIA","BRONX","2300","SOUTHERN BOULEVARD",10460,"7182207846","American ",3
40357437,"C & C CATERING SERVICE","BROOKLYN","7715","18 AVENUE",11214,"7182322800","American ",5
40358429,"MAY MAY KITCHEN","BROOKLYN","1269","SUTTER AVENUE",11208,"7182354485","Chinese",11
40359480,"1 EAST 66TH STREET KITCHEN","MANHATTAN","1         ","EAST   66 STREET                                  ",10065,"2128793900","American ",5
40359705,"NATHAN'S FAMOUS","BROOKLYN","1310","SURF AVENUE",11224,"7183332202","Hotdogs",8
40360045,"SEUDA FOODS","BROOKLYN","705       ","KINGS HIGHWAY                                                                                       ",11223,"7183751500","Jewish/Kosher",7
40360076,"CARVEL ICE CREAM","BROOKLYN","203       ","CHURCH AVENUE                                                                                       ",11218,"7184389501","Ice Cream, Gelato, Yogurt, Ices",7
40361322,"CARVEL ICE CREAM","QUEENS","265-15    ","HILLSIDE AVENUE                                   ",11004,"7183430392","Ice Cream, Gelato, Yogurt, Ices",4
40361390,"NORDIC DELICACIES","BROOKLYN","6909","3 AVENUE",11209,"7187481874","Delicatessen",6
40361521,"GLORIOUS FOOD","MANHATTAN","522","EAST   74 STREET",10021,"2127372140","American ",10
40361606,"THE MOVABLE FEAST","BROOKLYN","284","PROSPECT PARK WEST",11215,"7189652900","American ",7
40361618,"SAL'S DELI","QUEENS","129-08","20 AVENUE",11356,"7186619498","Delicatessen",4
40361708,"BULLY'S DELI","MANHATTAN","759       ","BROADWAY                                                                                            ",10003,"2122549755","Delicatessen",10
40361998,"STEVE CHU'S DELI & GROCERY","QUEENS","3406      ","10 STREET                                                                                           ",11106,"7187268888","Delicatessen",4
40362098,"HARRIET'S KITCHEN","MANHATTAN","502       ","AMSTERDAM AVENUE                                                                                    ",10024,"2127210045","Chicken",12
40362264,"P & S DELI GROCERY","MANHATTAN","730","COLUMBUS AVENUE",10025,"2129323030","American ",7
40362274,"ANGELIKA FILM CENTER","MANHATTAN","18","WEST HOUSTON STREET",10012,"2129952570","American ",6
40362344,"WHITE CASTLE","BROOKLYN","531","MYRTLE AVENUE",11205,"7188578132","Hamburgers",6
40362432,"HO MEI RESTAURANT","QUEENS","103-05","37 AVENUE",11368,"7187796903","Chinese",16
40362715,"THE COUNTRY CAFE","MANHATTAN","60","WALL STREET",10005,"3474279132","Turkish",6
40362869,"SHASHEMENE INT'L RESTAURA","BROOKLYN","195","EAST   56 STREET",11203,"3474300871","Caribbean",5
40363021,"DOWNTOWN DELI","MANHATTAN","107","CHURCH STREET",10007,"2122332911","American ",10
40363093,"CARVEL ICE CREAM","BRONX","1006","EAST 233 STREET",10466,"7186526827","Ice Cream, Gelato, Yogurt, Ices",8
40363098,"DUNKIN' DONUTS","BROOKLYN","56","COURT STREET",11201,"7186252068","Donuts",4
40363117,"MEJLANDER & MULGANNON","BROOKLYN","7615","5 AVENUE",11209,"7182386666","American ",6
40363151,"OLIVE'S","MANHATTAN","120       ","PRINCE STREET                                                                                       ",10012,"2129410111","Bakery",8
40363289,"HAPPY GARDEN","BRONX","1236      ","238 SPOFFORD AVE                                                                                    ",10474,"7186171818","Chinese",5
40363298,"CAFE METRO","MANHATTAN","625","8 AVENUE",10018,"2127149342","American ",8
40363333,"TONY'S DELI","QUEENS","1069      ","WYCKOFF AVENUE                                                                                      ",11385,"7183867925","Delicatessen",9
40363426,"LEXLER DELI","MANHATTAN","405       ","LEXINGTON AVENUE                                                                                    ",10174,"2126870820","Sandwiches/Salads/Mixed Buffet",7
40363427,"BAGELS N BUNS","STATEN ISLAND","2491      ","VICTORY BOULEVARD                                                                                   ",10314,"7187611900","Delicatessen",7
40363565,"HOT BAGELS","QUEENS","7905      ","METROPOLITAN AVENUE                                                                                 ",11379,"7183268510","Bagels/Pretzels",12
40363590,"SNACK TIME GRILL","QUEENS","87-69","LEFFERTS BOULEVARD",11418,"7188057835","American ",10
40363630,"LORENZO & MARIA'S","MANHATTAN","1418      ","THIRD AVENUE                                      ",10028,"2127941080","Continental",8
40363644,"DOMINO'S PIZZA","MANHATTAN","464","3 AVENUE",10016,"2125450200","Pizza",10
40363685,"BERKELY","MANHATTAN","437","MADISON AVENUE",10022,"2128328121","American ",7
40363744,"SONNY'S HEROS","BROOKLYN","1031","EAST   92 STREET",11236,"7184859810","American ",3
40363804,"WINTER CATERERS","STATEN ISLAND","584","RICHMOND ROAD",10304,"7184427203","American ",10
40363834,"CARVEL ICE CREAM","STATEN ISLAND","1111      ","HYLAN BOULEVARD                                                                                     ",10305,"7188167807","Ice Cream, Gelato, Yogurt, Ices",3
40363920,"GOLDEN PAVILLION","BROOKLYN","976","RUTLAND ROAD",11212,"7187357707","Chinese",6
40363945,"DOMINO'S PIZZA","MANHATTAN","148       ","WEST   72 STREET                                                                                    ",10023,"2125010200","Pizza",6
40364179,"SPOON BREAD CATERING","MANHATTAN","364       ","WEST  110 STREET                                                                                    ",10025,"2128656744","American ",7
40364220,"KOSHER BAGEL HOLE","BROOKLYN","1423","AVENUE J",11230,"7182584150","Jewish/Kosher",7
40364262,"TERMINAL CAFE/YANKEE CLIPPER","QUEENS","0         ","GUARDIA AIRPORT PARKING                                                                             ",11371,"9172998133","American ",6
40364286,"PLAZA BAGELS & DELI","STATEN ISLAND","73        ","NEW DORP PLAZA                                                                                      ",10306,"7183513906","Delicatessen",6
40364296,"HAPPY GARDEN","BRONX","277       ","EAST KINGSBRIDGE ROAD                                                                               ",10458,"7182955588","Chinese",8
40364299,"B & M HOT BAGEL & GROCERY","STATEN ISLAND","203","GIFFORDS LANE",10308,"7189668445","Delicatessen",12
40364304,"TEXAS ROTISSERIE","MANHATTAN","94        ","FULTON STREET                                                                                       ",10038,"2125666666","Chicken",12
40364305,"PHILADELHIA GRILLE EXPRESS","BROOKLYN","10004","4 AVENUE",11209,"7182380747","Italian",6
40364335,"PETER LUGER STEAKHOUSE","BROOKLYN","178","BROADWAY",11211,"7183877400","Steak",8
40364347,"METROPOLITAN CLUB","MANHATTAN","1         ","EAST   60 STREET                                                                                    ",10022,"2128387400","American ",11
40364355,"PALM RESTAURANT","MANHATTAN","837       ","2 AVENUE                                                                                            ",10017,"2126872953","American ",10
40364362,"21 CLUB","MANHATTAN","21","WEST   52 STREET",10019,"2125827200","American ",5
40364363,"MANHEM CLUB","BRONX","658       ","CLARENCE AVE                                                                                        ",10465,"7188228965","American ",4
40364373,"ISLE OF CAPRI RESTURANT","MANHATTAN","1028      ","3 AVENUE                                                                                            ",10065,"2127581902","Italian",9
