"AA","AB","AC","BA","BB","BC","CA","CB","CC"
"30075445",0,0,0,0.5,0,0,1,0,0
"30112340",0.75,0.25,0,0.5,0,0,0,0,0
"30191841",0.75,0,0,1,0,0,0,0,0
"40356018",0.5,0.25,0,1,0,0,0,0,0
"40356068",0.75,0.25,0,0.333333333333333,0.333333333333333,0,0,0,0
"40356151",0,0.333333333333333,0.333333333333333,0,0,0,1,0,0
"40356442",0.5,0.25,0,1,0,0,0,0,0
"40356483",0.333333333333333,0.333333333333333,0,1,0,0,1,0,0
"40356649",0.4,0.4,0,1,0,0,0,0,0
"40356731",0.75,0,0,1,0,0,0,0,0
"40357217",0.666666666666667,0,0,0,0,0,0,0,0
"40357437",0.75,0,0,0,0,0,1,0,0
"40358429",0,0,1,0,0.6,0.2,0,0.666666666666667,0
"40359480",0.75,0,0,1,0,0,0,0,0
"40359705",0.5,0,0.25,1,0,0,0,1,0
"40360045",0.666666666666667,0.333333333333333,0,0.25,0.5,0,0,0,0
"40360076",0.6,0,0.2,0,0,0,1,0,0
"40361322",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"40361390",0.25,0,0.5,0,0,0,1,0,0
"40361521",0,0.5,0.25,0.5,0.25,0.25,1,0,0
"40361606",0.6,0.2,0,1,0,0,0,0,0
"40361618",0.75,0,0,0,0,0,0,0,0
"40361708",0.571428571428571,0.285714285714286,0,1,0,0,1,0,0
"40361998",0.75,0,0,0,0,0,0,0,0
"40362098",0.666666666666667,0.222222222222222,0,1,0,0,0,0,0
"40362264",0,0.5,0.5,0.25,0.5,0,0,1,0
"40362274",0.5,0,0,0,0,0,0,0,0
"40362344",0.25,0.25,0,1,0,0,0,0,0
"40362432",0.25,0.375,0.125,1,0,0,1,0,0
"40362715",0.5,0,0.25,1,0,0,1,0,0
"40362869",0.5,0.25,0,1,0,0,0,0,0
"40363021",0.571428571428571,0.285714285714286,0,1,0,0,0,0,0
"40363093",0.2,0.6,0,1,0,0,0,0,0
"40363098",0.75,0,0,0,0,0,0,0,0
"40363117",0.6,0,0,0,0,0,0,0,0
"40363151",0.666666666666667,0,0.166666666666667,1,0,0,1,0,0
"40363289",0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,0,0
"40363298",0.6,0.2,0,1,0,0,0,0,0
"40363333",0.4,0.4,0,0.5,0.5,0,0,0,0
"40363426",0.6,0.2,0,1,0,0,0,0,0
"40363427",0.4,0.2,0.2,1,0,0,1,0,0
"40363565",0.333333333333333,0.333333333333333,0,0.142857142857143,0.714285714285714,0.142857142857143,0.5,0.5,0
"40363590",0.75,0.125,0,1,0,0,1,0,0
"40363630",0.333333333333333,0.333333333333333,0,0.25,0.5,0.25,1,0,0
"40363644",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"40363685",0.6,0.2,0,1,0,0,0,0,0
